Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
LT,12-Sep-2025,30-Sep-2025,PE,3700.00,142.00,145.65,111.20,119.65,119.10,119.65,661.00,4420.39,140.42,217350.00,1225.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3900.00,305.00,313.85,298.55,313.85,313.85,319.90,36.00,264.96,19.26,32375.00,-2100.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3550.00,44.30,44.35,25.20,27.85,27.80,27.85,4214.00,26401.34,221.87,320600.00,43750.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3450.00,13.05,13.10,7.40,8.10,8.15,8.10,2287.00,13842.83,35.07,189525.00,6125.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,4050.00,-,-,-,461.00,461.00,461.20,-,-,-,175.00,-,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3650.00,100.85,100.85,72.85,80.20,79.75,80.20,791.00,5164.95,112.44,163450.00,-6825.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3300.00,3.00,3.00,1.80,1.95,1.95,1.95,819.00,4732.59,2.87,98700.00,1050.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,4000.00,419.05,419.05,399.00,408.00,408.00,413.10,24.00,185.16,17.16,70350.00,-1400.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3100.00,0.85,0.85,0.50,0.85,0.85,0.85,36.00,195.35,0.05,17150.00,3850.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3200.00,0.50,0.70,0.45,0.70,0.55,0.70,28.00,156.83,0.03,72100.00,-,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3400.00,7.45,7.50,4.45,4.65,4.70,4.65,966.00,5756.40,8.70,182875.00,-3500.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3000.00,0.35,0.70,0.30,0.30,0.30,0.30,7.00,36.76,0.01,8225.00,-1050.00,3579.80
LT,12-Sep-2025,30-Sep-2025,PE,3850.00,-,-,-,284.80,-,275.60,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3700.00,150.00,150.00,139.35,142.30,142.30,198.50,15.00,100.90,3.77,8750.00,350.00,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3950.00,-,-,-,406.35,-,379.55,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3300.00,-,-,-,68.30,-,37.30,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3350.00,-,-,-,71.30,-,48.60,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3200.00,7.00,7.00,5.15,5.15,5.15,20.65,4.00,22.44,0.04,16625.00,-175.00,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3500.00,48.85,48.85,42.00,44.80,45.00,44.80,107.00,663.79,8.41,16625.00,16625.00,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3000.00,-,-,-,18.95,-,4.80,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3800.00,217.00,217.00,217.00,217.00,217.00,264.60,1.00,7.03,0.38,175.00,175.00,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,4100.00,-,-,-,485.40,-,508.65,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3450.00,-,-,-,105.25,-,78.25,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3650.00,106.60,106.75,105.75,106.05,106.05,169.15,6.00,39.44,1.11,1225.00,1050.00,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3850.00,-,-,-,330.35,-,301.15,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3250.00,-,-,-,45.90,-,28.05,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3900.00,-,-,-,337.40,337.40,339.40,-,-,-,700.00,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3600.00,96.05,96.70,80.30,85.20,85.85,85.20,149.00,961.13,22.43,36575.00,-4550.00,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3550.00,-,-,-,148.25,-,118.35,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3750.00,-,-,-,261.35,-,230.40,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3100.00,-,-,-,30.45,-,10.50,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,4000.00,-,-,-,410.75,-,421.30,-,-,-,-,-,3579.80
LT,12-Sep-2025,28-Oct-2025,PE,3400.00,-,-,-,96.25,-,62.15,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,4000.00,-,-,-,459.45,-,434.15,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,4200.00,-,-,-,621.90,-,600.70,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3500.00,-,-,-,152.70,-,127.35,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3300.00,-,-,-,80.80,-,61.25,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3000.00,-,-,-,22.75,-,13.80,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3100.00,-,-,-,36.40,-,24.05,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3400.00,-,-,-,112.95,-,90.15,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3600.00,-,-,-,200.05,-,173.00,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3800.00,-,-,-,316.75,-,289.10,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3200.00,-,-,-,55.45,-,39.45,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3900.00,-,-,-,385.10,-,358.40,-,-,-,-,-,3579.80
LT,12-Sep-2025,25-Nov-2025,PE,3700.00,-,-,-,254.85,-,227.05,-,-,-,-,-,3579.80
